m,n,k,b,p,q,algo,lookahead,gflops
512,512,512,128,1,1,p2p,8,8.960991
512,512,512,128,1,1,p2p,8,12.231635
512,512,512,128,1,1,p2p,8,11.312071
512,512,512,128,1,1,p2p,8,13.452040
512,512,512,128,1,1,p2p,8,13.171514
512,512,512,128,1,1,bcast,8,8.966080
512,512,512,128,1,1,bcast,8,11.849885
512,512,512,128,1,1,bcast,8,10.545905
512,512,512,128,1,1,bcast,8,9.221734
512,512,512,128,1,1,bcast,8,8.935934
512,512,512,128,1,1,p2p-i-la,1,9.001256
512,512,512,128,1,1,p2p-i-la,1,11.463273
512,512,512,128,1,1,p2p-i-la,1,11.104763
512,512,512,128,1,1,p2p-i-la,1,9.671956
512,512,512,128,1,1,p2p-i-la,1,9.223635
512,512,512,128,1,1,p2p-i-la,2,9.043407
512,512,512,128,1,1,p2p-i-la,2,10.420631
512,512,512,128,1,1,p2p-i-la,2,9.862424
512,512,512,128,1,1,p2p-i-la,2,10.179963
512,512,512,128,1,1,p2p-i-la,2,8.878596
512,512,512,128,1,1,p2p-i-la,3,6.906691
512,512,512,128,1,1,p2p-i-la,3,9.367513
512,512,512,128,1,1,p2p-i-la,3,9.383559
512,512,512,128,1,1,p2p-i-la,3,9.315500
512,512,512,128,1,1,p2p-i-la,3,9.035797
512,512,512,128,1,1,p2p-i-la,4,8.081511
512,512,512,128,1,1,p2p-i-la,4,19.694458
512,512,512,128,1,1,p2p-i-la,4,18.676370
512,512,512,128,1,1,p2p-i-la,4,11.035373
512,512,512,128,1,1,p2p-i-la,4,15.764356
1024,1024,1024,128,1,1,p2p,4,9.264941
1024,1024,1024,128,1,1,p2p,4,13.553581
1024,1024,1024,128,1,1,p2p,4,21.667461
1024,1024,1024,128,1,1,p2p,4,22.428262
1024,1024,1024,128,1,1,p2p,4,23.626242
1024,1024,1024,128,1,1,bcast,4,12.528053
1024,1024,1024,128,1,1,bcast,4,20.320626
1024,1024,1024,128,1,1,bcast,4,22.612231
1024,1024,1024,128,1,1,bcast,4,23.478749
1024,1024,1024,128,1,1,bcast,4,17.159689
1024,1024,1024,128,1,1,p2p-i-la,1,11.420052
1024,1024,1024,128,1,1,p2p-i-la,1,12.853872
1024,1024,1024,128,1,1,p2p-i-la,1,22.975602
1024,1024,1024,128,1,1,p2p-i-la,1,11.159585
1024,1024,1024,128,1,1,p2p-i-la,1,22.981996
1024,1024,1024,128,1,1,p2p-i-la,2,18.732084
1024,1024,1024,128,1,1,p2p-i-la,2,12.808487
1024,1024,1024,128,1,1,p2p-i-la,2,17.994064
1024,1024,1024,128,1,1,p2p-i-la,2,14.329454
1024,1024,1024,128,1,1,p2p-i-la,2,23.969860
1024,1024,1024,128,1,1,p2p-i-la,3,10.860797
1024,1024,1024,128,1,1,p2p-i-la,3,13.761245
1024,1024,1024,128,1,1,p2p-i-la,3,15.724072
