m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,2,2,p2p,0,57.466979
1024,1024,1024,256,2,2,p2p,0,126.070428
1024,1024,1024,256,2,2,p2p,0,129.749487
1024,1024,1024,256,2,2,p2p,0,130.268950
1024,1024,1024,256,2,2,p2p,0,130.665273
1024,1024,1024,256,2,2,bcast,0,53.475862
1024,1024,1024,256,2,2,bcast,0,130.024440
1024,1024,1024,256,2,2,bcast,0,130.832441
1024,1024,1024,256,2,2,bcast,0,129.506921
1024,1024,1024,256,2,2,bcast,0,128.009284
1024,1024,1024,256,2,2,p2p-i-la,1,52.048856
1024,1024,1024,256,2,2,p2p-i-la,1,103.353721
1024,1024,1024,256,2,2,p2p-i-la,1,119.000541
1024,1024,1024,256,2,2,p2p-i-la,1,127.795977
1024,1024,1024,256,2,2,p2p-i-la,1,130.118973
1024,1024,1024,256,2,2,p2p-i-la,2,59.022745
1024,1024,1024,256,2,2,p2p-i-la,2,126.352298
1024,1024,1024,256,2,2,p2p-i-la,2,128.070358
1024,1024,1024,256,2,2,p2p-i-la,2,126.263156
1024,1024,1024,256,2,2,p2p-i-la,2,127.416858
1024,1024,1024,256,2,2,p2p-i-la,3,52.666673
1024,1024,1024,256,2,2,p2p-i-la,3,115.630172
1024,1024,1024,256,2,2,p2p-i-la,3,116.914396
1024,1024,1024,256,2,2,p2p-i-la,3,118.423055
1024,1024,1024,256,2,2,p2p-i-la,3,118.527635
1024,1024,1024,256,2,2,p2p-i-la,4,46.788173
1024,1024,1024,256,2,2,p2p-i-la,4,120.903259
1024,1024,1024,256,2,2,p2p-i-la,4,119.850633
1024,1024,1024,256,2,2,p2p-i-la,4,120.152387
1024,1024,1024,256,2,2,p2p-i-la,4,118.730784
2048,2048,2048,256,2,2,p2p,0,112.066256
2048,2048,2048,256,2,2,p2p,0,128.178328
2048,2048,2048,256,2,2,p2p,0,123.743962
2048,2048,2048,256,2,2,p2p,0,122.340219
2048,2048,2048,256,2,2,p2p,0,116.146899
2048,2048,2048,256,2,2,bcast,0,109.050844
2048,2048,2048,256,2,2,bcast,0,123.517978
2048,2048,2048,256,2,2,bcast,0,123.224730
2048,2048,2048,256,2,2,bcast,0,131.862749
2048,2048,2048,256,2,2,bcast,0,126.387618
2048,2048,2048,256,2,2,p2p-i-la,1,110.325390
2048,2048,2048,256,2,2,p2p-i-la,1,123.147890
2048,2048,2048,256,2,2,p2p-i-la,1,124.802906
2048,2048,2048,256,2,2,p2p-i-la,1,119.567031
