m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,2,2,p2p,0,60.883526
1024,1024,1024,256,2,2,p2p,0,130.641420
1024,1024,1024,256,2,2,p2p,0,125.130145
1024,1024,1024,256,2,2,p2p,0,130.554049
1024,1024,1024,256,2,2,p2p,0,131.032018
1024,1024,1024,256,2,2,bcast,0,54.842906
1024,1024,1024,256,2,2,bcast,0,127.963506
1024,1024,1024,256,2,2,bcast,0,129.969356
1024,1024,1024,256,2,2,bcast,0,129.812233
1024,1024,1024,256,2,2,bcast,0,128.661179
1024,1024,1024,256,2,2,p2p-i-la,1,56.407336
1024,1024,1024,256,2,2,p2p-i-la,1,121.870707
1024,1024,1024,256,2,2,p2p-i-la,1,121.642895
1024,1024,1024,256,2,2,p2p-i-la,1,122.924076
1024,1024,1024,256,2,2,p2p-i-la,1,120.597727
1024,1024,1024,256,2,2,p2p-i-la,2,55.240739
1024,1024,1024,256,2,2,p2p-i-la,2,120.746904
1024,1024,1024,256,2,2,p2p-i-la,2,126.471359
1024,1024,1024,256,2,2,p2p-i-la,2,120.327432
1024,1024,1024,256,2,2,p2p-i-la,2,123.376058
1024,1024,1024,256,2,2,p2p-i-la,3,33.224779
1024,1024,1024,256,2,2,p2p-i-la,3,121.995317
1024,1024,1024,256,2,2,p2p-i-la,3,123.617532
1024,1024,1024,256,2,2,p2p-i-la,3,121.203500
1024,1024,1024,256,2,2,p2p-i-la,3,123.156717
1024,1024,1024,256,2,2,p2p-i-la,4,41.331941
1024,1024,1024,256,2,2,p2p-i-la,4,125.115575
1024,1024,1024,256,2,2,p2p-i-la,4,124.484591
1024,1024,1024,256,2,2,p2p-i-la,4,122.945194
1024,1024,1024,256,2,2,p2p-i-la,4,123.482471
2048,2048,2048,256,2,2,p2p,0,112.424132
2048,2048,2048,256,2,2,p2p,0,132.974210
2048,2048,2048,256,2,2,p2p,0,131.879944
2048,2048,2048,256,2,2,p2p,0,132.939220
2048,2048,2048,256,2,2,p2p,0,132.906318
2048,2048,2048,256,2,2,bcast,0,120.060022
2048,2048,2048,256,2,2,bcast,0,133.242346
2048,2048,2048,256,2,2,bcast,0,131.551749
2048,2048,2048,256,2,2,bcast,0,133.148372
2048,2048,2048,256,2,2,bcast,0,132.677432
2048,2048,2048,256,2,2,p2p-i-la,1,107.535487
2048,2048,2048,256,2,2,p2p-i-la,1,132.321808
2048,2048,2048,256,2,2,p2p-i-la,1,131.893115
2048,2048,2048,256,2,2,p2p-i-la,1,123.467383
2048,2048,2048,256,2,2,p2p-i-la,1,131.749478
2048,2048,2048,256,2,2,p2p-i-la,2,119.659470
2048,2048,2048,256,2,2,p2p-i-la,2,130.489595
2048,2048,2048,256,2,2,p2p-i-la,2,129.410340
2048,2048,2048,256,2,2,p2p-i-la,2,129.729880
2048,2048,2048,256,2,2,p2p-i-la,2,129.151559
2048,2048,2048,256,2,2,p2p-i-la,3,117.226326
2048,2048,2048,256,2,2,p2p-i-la,3,130.389567
2048,2048,2048,256,2,2,p2p-i-la,3,130.683164
2048,2048,2048,256,2,2,p2p-i-la,3,130.065790
2048,2048,2048,256,2,2,p2p-i-la,3,130.188986
2048,2048,2048,256,2,2,p2p-i-la,4,116.984459
2048,2048,2048,256,2,2,p2p-i-la,4,130.074654
2048,2048,2048,256,2,2,p2p-i-la,4,128.977992
2048,2048,2048,256,2,2,p2p-i-la,4,128.782691
2048,2048,2048,256,2,2,p2p-i-la,4,123.641540
2048,2048,2048,256,2,2,p2p-i-la,5,116.566149
2048,2048,2048,256,2,2,p2p-i-la,5,130.403430
2048,2048,2048,256,2,2,p2p-i-la,5,129.817129
2048,2048,2048,256,2,2,p2p-i-la,5,128.370841
2048,2048,2048,256,2,2,p2p-i-la,5,128.953800
2048,2048,2048,256,2,2,p2p-i-la,6,115.580385
2048,2048,2048,256,2,2,p2p-i-la,6,129.753401
2048,2048,2048,256,2,2,p2p-i-la,6,128.925723
2048,2048,2048,256,2,2,p2p-i-la,6,128.629384
2048,2048,2048,256,2,2,p2p-i-la,6,127.990199
2048,2048,2048,256,2,2,p2p-i-la,7,107.587337
2048,2048,2048,256,2,2,p2p-i-la,7,129.667213
2048,2048,2048,256,2,2,p2p-i-la,7,129.964433
2048,2048,2048,256,2,2,p2p-i-la,7,128.737336
2048,2048,2048,256,2,2,p2p-i-la,7,128.583176
2048,2048,2048,256,2,2,p2p-i-la,8,100.446508
2048,2048,2048,256,2,2,p2p-i-la,8,125.531532
2048,2048,2048,256,2,2,p2p-i-la,8,125.773237
2048,2048,2048,256,2,2,p2p-i-la,8,123.546410
